Running Sim0_1
Waf: Entering directory `/home/kajihara/backoff/build'
Waf: Leaving directory `/home/kajihara/backoff/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.420s)
Uplink interval:+294000.0ns Downlink interval:+0.0ns
ApplicationTxStart: 1 Duration: 5
nBss: 1 nStas/Bss: 10 => nStas: 10
BO 0 0 7
CW 1000151 1 31
BO 1000151 1 20
CW 1000151 2 31
BO 1000151 2 14
CW 1000151 3 31
BO 1000151 3 10
CW 1000151 4 31
BO 1000151 4 8
CW 1000151 5 31
BO 1000151 5 13
CW 1000151 6 31
BO 1000151 6 27
CW 1000151 7 31
BO 1000151 7 24
CW 1000151 8 31
BO 1000151 8 8
CW 1000151 9 31
BO 1000151 9 2
CW 1000151 10 31
BO 1000151 10 21
BO 1000288 0 4
CW 1000348 9 15
BO 1000348 9 12
BO 1000563 0 10
CW 1000757 4 63
BO 1000757 4 62
CW 1000757 8 63
BO 1000757 8 19
CW 1000870 3 15
BO 1000870 3 13
CW 1001067 5 15
BO 1001067 5 11
CW 1001246 2 15
BO 1001246 2 3
BO 1001561 9 6
BO 1001698 2 1
BO 1001758 0 0
BO 1001758 0 12
BO 1001870 3 12
CW 1001961 1 63
BO 1001961 1 40
BO 1002067 5 13
CW 1002113 2 31
BO 1002113 2 22
CW 1002217 10 15
BO 1002217 10 4
CW 1002414 7 15
BO 1002414 7 15
CW 1002611 6 15
BO 1002611 6 9
CW 1002808 8 15
BO 1002808 8 5
BO 1002987 0 1
CW 1003190 0 31
BO 1003190 0 25
BO 1003217 10 15
CW 1003342 3 31
BO 1003342 3 12
BO 1003414 7 15
BO 1003582 5 5
BO 1003611 6 7
BO 1003906 8 9
BO 1004266 6 4
CW 1004590 2 15
BO 1004590 2 9
CW 1004923 3 15
BO 1004923 3 1
BO 1005247 10 13
BO 1005562 7 13
CW 1005813 0 15
BO 1005813 0 12
CW 1006001 1 15
BO 1006001 1 10
BO 1006210 1 6
BO 1006270 0 11
CW 1006449 4 15
BO 1006449 4 11
BO 1006809 1 12
BO 1007024 0 2
BO 1007339 4 10
BO 1007527 0 15
BO 1007841 0 9
BO 1008101 0 4
BO 1008256 1 7
BO 1008256 2 2
BO 1008256 3 11
BO 1008256 4 5
BO 1008256 5 1
BO 1008256 6 3
BO 1008256 7 13
BO 1008256 8 11
BO 1008256 9 12
BO 1008256 10 11
BO 1008316 0 9
BO 1008640 5 1
BO 1009151 2 6
CW 1009909 5 31
BO 1009909 5 27
CW 1010101 6 31
BO 1010101 6 25
BO 1011462 4 7
BO 1013882 1 1
CW 1015601 1 31
BO 1015601 1 14
CW 1017501 2 31
BO 1017501 2 30
CW 1022913 3 31
BO 1022913 3 20
CW 1022913 8 31
BO 1022913 8 28
CW 1022913 10 31
BO 1022913 10 15
BO 1028257 9 14
CW 1033767 7 31
BO 1033767 7 19
CW 1033767 4 31
BO 1033767 4 23
CW 1039201 1 15
BO 1039201 1 5
BO 1044670 9 11
CW 1050121 10 15
BO 1050121 10 5
BO 1055581 1 7
CW 1061091 6 63
BO 1061091 6 37
CW 1061091 5 63
BO 1061091 5 26
CW 1066444 3 15
BO 1066444 3 3
BO 1071895 10 3
BO 1077364 3 11
CW 1082874 10 31
BO 1082874 10 12
CW 1082874 1 31
BO 1082874 1 19
BO 1088218 9 10
CW 1093678 8 15
BO 1093678 8 12
CW 1099129 2 15
BO 1099129 2 11
CW 1104589 7 15
BO 1104589 7 4
CW 1110067 4 15
BO 1110067 4 9
CW 1115577 7 31
BO 1115577 7 17
CW 1115577 3 31
BO 1115577 3 13
BO 1120921 9 14
CW 1126381 10 15
BO 1126381 10 15
CW 1131900 8 31
BO 1131900 8 12
CW 1131900 2 31
BO 1131900 2 11
BO 1137271 4 6
CW 1142722 1 15
BO 1142722 1 5
CW 1148173 5 15
BO 1148173 5 2
BO 1153642 5 14
CW 1159093 3 15
BO 1159093 3 7
CW 1164603 1 31
BO 1164603 1 9
CW 1164603 9 31
BO 1164603 9 13
CW 1164603 4 31
BO 1164603 4 29
CW 1170024 7 63
BO 1170024 7 48
CW 1170024 10 31
BO 1170024 10 2
CW 1175377 2 15
BO 1175377 2 8
CW 1180887 8 63
BO 1180887 8 4
CW 1180887 6 127
BO 1180887 6 120
BO 1186231 3 15
CW 1191682 10 15
BO 1191682 10 2
BO 1197151 10 14
CW 1202602 8 15
BO 1202602 8 5
CW 1208112 1 63
BO 1208112 1 49
CW 1208112 5 31
BO 1208112 5 24
BO 1213456 2 8
CW 1218925 9 15
BO 1218925 9 13
BO 1224376 8 2
BO 1229845 8 12
CW 1235364 3 31
BO 1235364 3 26
CW 1235364 2 31
BO 1235364 2 22
BO 1240726 10 9
BO 1246213 9 1
CW 1251732 9 31
BO 1251732 9 19
CW 1251732 4 63
BO 1251732 4 21
BO 1257076 8 9
BO 1262536 10 11
CW 1268005 5 15
BO 1268005 5 13
BO 1273492 8 12
BO 1278970 10 12
CW 1284421 2 15
BO 1284421 2 8
CW 1289958 3 63
BO 1289958 3 38
CW 1289958 5 31
BO 1289958 5 11
CW 1295361 9 63
BO 1295361 9 23
CW 1295361 7 127
BO 1295361 7 73
CW 1300714 4 15
BO 1300714 4 1
BO 1306165 8 1
CW 1311675 4 31
BO 1311675 4 4
CW 1311675 2 31
BO 1311675 2 23
BO 1317019 8 2
BO 1322479 10 14
BO 1327930 8 5
CW 1333449 1 127
BO 1333449 1 72
CW 1333449 4 63
BO 1333449 4 23
CW 1338802 5 15
BO 1338802 5 5
BO 1344262 8 5
BO 1349740 5 4
BO 1355200 8 13
BO 1360660 10 9
BO 1366111 5 14
CW 1371580 9 15
BO 1371580 9 10
CW 1377049 2 15
BO 1377049 2 15
BO 1382518 10 12
BO 1387978 8 10
CW 1393438 4 15
BO 1393438 4 1
BO 1398889 9 11
CW 1404399 4 31
BO 1404399 4 12
CW 1404399 5 31
BO 1404399 5 17
CW 1409743 3 15
BO 1409743 3 4
BO 1415230 3 13
CW 1420740 2 31
BO 1420740 2 14
CW 1420740 10 31
BO 1420740 10 20
CW 1420740 8 31
BO 1420740 8 10
BO 1426111 9 1
BO 1431571 9 15
CW 1437022 4 15
BO 1437022 4 1
BO 1442482 4 0
BO 1442482 4 9
CW 1447951 5 15
BO 1447951 5 8
BO 1453402 3 13
CW 1458862 8 15
BO 1458862 8 11
CW 1464399 2 63
BO 1464399 2 30
CW 1464399 4 31
BO 1464399 4 27
BO 1469752 5 4
BO 1475203 9 12
CW 1480672 10 15
BO 1480672 10 15
BO 1486123 5 7
CW 1491633 3 31
BO 1491633 3 21
CW 1491633 8 31
BO 1491633 8 29
CW 1496986 6 15
BO 1496986 6 5
CW 1502446 7 15
BO 1502446 7 14
BO 1507915 5 8
CW 1513425 6 31
BO 1513425 6 23
CW 1513425 9 31
BO 1513425 9 21
CW 1518805 1 15
BO 1518805 1 3
BO 1524256 10 9
BO 1529716 5 5
BO 1535167 1 8
BO 1540627 7 7
CW 1546155 5 31
BO 1546155 5 19
CW 1546155 4 63
BO 1546155 4 8
CW 1551567 3 63
BO 1551567 3 22
CW 1551567 10 31
BO 1551567 10 25
CW 1556911 2 15
BO 1556911 2 6
BO 1562362 1 2
BO 1567813 7 11
BO 1573273 1 5
CW 1578801 8 63
BO 1578801 8 30
CW 1578801 2 31
BO 1578801 2 29
CW 1584145 4 15
BO 1584145 4 13
CW 1589664 1 31
BO 1589664 1 20
CW 1589664 9 63
BO 1589664 9 20
CW 1595017 6 15
BO 1595017 6 10
BO 1600477 7 14
CW 1605964 5 15
BO 1605964 5 15
BO 1611433 4 6
CW 1616943 3 127
BO 1616943 3 44
CW 1616943 6 31
BO 1616943 6 3
CW 1622305 10 15
BO 1622305 10 14
CW 1627833 7 31
BO 1627833 7 10
CW 1627833 4 31
BO 1627833 4 31
CW 1633177 6 15
BO 1633177 6 8
CW 1638705 1 63
BO 1638705 1 44
CW 1638705 9 127
BO 1638705 9 85
BO 1644058 5 9
CW 1649527 2 15
BO 1649527 2 0
BO 1649527 2 10
CW 1655037 8 127
BO 1655037 8 105
CW 1655037 6 31
BO 1655037 6 7
CW 1660449 7 63
BO 1660449 7 37
CW 1660449 10 31
BO 1660449 10 20
BO 1665820 5 11
CW 1671357 6 63
BO 1671357 6 43
CW 1671357 2 31
BO 1671357 2 29
BO 1676764 5 15
CW 1682251 4 15
BO 1682251 4 2
BO 1687720 4 6
CW 1693171 10 15
BO 1693171 10 14
CW 1698658 3 15
BO 1698658 3 11
BO 1704109 4 10
BO 1709560 5 12
CW 1715065 1 15
BO 1715065 1 14
BO 1720516 10 9
CW 1726035 7 127
BO 1726035 7 41
CW 1726035 3 31
BO 1726035 3 23
CW 1726035 4 31
BO 1726035 4 31
BO 1731397 5 0
BO 1731397 5 3
CW 1736848 2 15
BO 1736848 2 10
BO 1742317 5 8
BO 1747768 10 6
BO 1753246 1 7
CW 1758774 10 31
BO 1758774 10 9
CW 1758774 2 31
BO 1758774 2 9
BO 1764118 5 12
CW 1769578 6 15
BO 1769578 6 1
CW 1775097 6 31
BO 1775097 6 23
CW 1775097 1 31
BO 1775097 1 29
CW 1780545 10 63
BO 1780545 10 18
CW 1780545 2 63
BO 1780545 2 8
CW 1785889 3 15
BO 1785889 3 3
BO 1791349 5 0
BO 1791349 5 6
BO 1796809 3 10
CW 1802287 4 15
BO 1802287 4 3
CW 1807797 5 31
BO 1807797 5 24
CW 1807797 2 127
BO 1807797 2 117
CW 1813150 9 15
BO 1813150 9 13
BO 1818601 4 5
BO 1824070 3 15
CW 1829598 4 31
BO 1829598 4 16
CW 1829598 7 255
BO 1829598 7 52
CW 1834942 10 15
BO 1834942 10 8
CW 1840420 6 15
BO 1840420 6 2
BO 1845880 9 13
BO 1851331 6 12
BO 1856791 10 11
CW 1862242 1 15
BO 1862242 1 6
BO 1867702 3 8
CW 1873248 1 31
BO 1873248 1 27
CW 1873248 4 63
BO 1873248 4 32
CW 1873248 5 63
BO 1873248 5 2
CW 1878592 8 15
BO 1878592 8 8
CW 1884111 9 31
BO 1884111 9 23
CW 1884111 6 31
BO 1884111 6 25
CW 1889514 3 31
BO 1889514 3 15
CW 1889514 10 31
BO 1889514 10 24
CW 1889514 5 127
BO 1889514 5 104
BO 1894903 8 7
BO 1900417 8 5
BO 1905913 8 3
CW 1911373 3 15
BO 1911373 3 3
CW 1916892 8 31
BO 1916892 8 26
CW 1916892 9 63
BO 1916892 9 4
CW 1922236 1 15
BO 1922236 1 4
CW 1927746 3 31
BO 1927746 3 27
CW 1927746 6 63
BO 1927746 6 18
CW 1933176 1 31
BO 1933176 1 2
CW 1933176 4 127
BO 1933176 4 117
CW 1933176 9 127
BO 1933176 9 98
CW 1938520 10 15
BO 1938520 10 15
CW 1943971 7 15
BO 1943971 7 14
CW 1949431 1 15
BO 1949431 1 1
BO 1954891 1 9
BO 1960423 1 6
CW 1965933 10 31
BO 1965933 10 14
CW 1965933 7 31
BO 1965933 7 12
CW 1971286 6 15
BO 1971286 6 1
BO 1976746 6 14
CW 1982197 8 15
BO 1982197 8 1
BO 1987648 1 1
BO 1993099 8 8
BO 1998550 1 13
CW 2004019 3 15
BO 2004019 3 8
CW 2009497 7 15
BO 2009497 7 10
BO 2014948 8 1
CW 2020399 10 15
BO 2020399 10 7
BO 2025850 8 6
BO 2031301 6 11
BO 2036752 3 4
BO 2042212 1 8
CW 2047740 3 31
BO 2047740 3 16
CW 2047740 10 31
BO 2047740 10 28
CW 2047740 8 31
BO 2047740 8 11
BO 2053084 7 6
CW 2058630 6 31
BO 2058630 6 30
CW 2058630 1 31
BO 2058630 1 26
BO 2063983 7 15
CW 2069470 8 15
BO 2069470 8 7
CW 2074948 2 15
BO 2074948 2 2
CW 2080399 3 15
BO 2080399 3 2
BO 2085859 2 10
CW 2091369 3 31
BO 2091369 3 16
CW 2091369 8 31
BO 2091369 8 3
BO 2096731 7 11
CW 2102209 8 15
BO 2102209 8 1
CW 2107728 8 31
BO 2107728 8 5
CW 2107728 10 63
BO 2107728 10 38
BO 2113072 2 13
CW 2118550 1 15
BO 2118550 1 2
BO 2124001 7 6
CW 2129452 8 15
BO 2129452 8 11
BO 2134903 1 10
CW 2140413 6 63
BO 2140413 6 56
CW 2140413 5 255
BO 2140413 5 185
CW 2145766 3 15
BO 2145766 3 10
BO 2151226 7 0
BO 2151226 7 3
BO 2156686 2 10
BO 2162146 7 13
CW 2167665 8 31
BO 2167665 8 29
CW 2167665 1 31
BO 2167665 1 20
BO 2173027 3 9
BO 2178505 2 4
CW 2183965 9 15
BO 2183965 9 14
CW 2189493 2 31
BO 2189493 2 17
CW 2189493 7 31
BO 2189493 7 8
BO 2194837 3 14
CW 2200351 10 15
BO 2200351 10 7
CW 2205802 7 15
BO 2205802 7 6
CW 2211321 1 63
BO 2211321 1 52
CW 2211321 9 31
BO 2211321 9 14
CW 2216751 4 255
BO 2216751 4 152
CW 2216751 3 31
BO 2216751 3 0
BO 2216751 3 9
CW 2222154 7 31
BO 2222154 7 24
CW 2222154 10 31
BO 2222154 10 26
CW 2227507 2 15
BO 2227507 2 8
CW 2232967 8 15
BO 2232967 8 6
CW 2238463 3 15
BO 2238463 3 3
CW 2243973 8 31
BO 2243973 8 3
CW 2243973 2 31
BO 2243973 2 23
CW 2249394 3 31
BO 2249394 3 2
CW 2249394 9 63
BO 2249394 9 16
CW 2254765 8 15
BO 2254765 8 9
CW 2260225 6 15
BO 2260225 6 7
CW 2265676 3 15
BO 2265676 3 2
BO 2271145 3 13
CW 2276614 7 15
BO 2276614 7 10
CW 2282124 8 31
BO 2282124 8 14
CW 2282124 6 31
BO 2282124 6 10
CW 2287468 10 15
BO 2287468 10 0
BO 2287468 10 15
CW 2292964 9 15
BO 2292964 9 5
CW 2298492 2 63
BO 2298492 2 17
CW 2298492 3 31
BO 2298492 3 14
CW 2298492 7 31
BO 2298492 7 29
CW 2303845 6 15
BO 2303845 6 8
BO 2309296 9 13
CW 2314765 8 15
BO 2314765 8 9
BO 2320216 10 11
BO 2325694 6 8
CW 2331163 1 15
BO 2331163 1 5
BO 2336623 8 12
CW 2342133 3 63
BO 2342133 3 55
CW 2342133 9 31
BO 2342133 9 8
BO 2347486 10 5
CW 2352996 1 31
