Running Sim0_1
Complete.  Removing the following files:
Running Sim0_1
Waf: Entering directory `/home/kajihara/backoff/build'
Waf: Leaving directory `/home/kajihara/backoff/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.535s)
Uplink interval:+29000.0ns Downlink interval:+0.0ns
ApplicationTxStart: 1 Duration: 5
nBss: 1 nStas/Bss: 1 => nStas: 1
BO 0 0 7
BO 1000076 0 4
BO 1000136 1 10
BO 1000351 0 10
BO 1001855 1 10
BO 1007396 1 10
BO 1012937 1 6
BO 1018442 1 12
BO 1024001 1 7
BO 1029515 1 1
BO 1034975 1 7
BO 1040489 1 5
BO 1045985 1 7
BO 1051499 1 9
BO 1057031 1 5
BO 1062527 1 4
BO 1068014 1 12
BO 1073573 1 9
BO 1079105 1 3
BO 1084583 1 8
BO 1090106 1 2
BO 1095575 1 5
BO 1101071 1 10
BO 1106612 1 11
BO 1112162 1 14
BO 1117739 1 7
BO 1123253 1 14
BO 1128830 1 6
BO 1134335 1 13
BO 1139903 1 4
BO 1145390 1 1
BO 1150850 1 1
BO 1156310 1 9
BO 1161842 1 6
BO 1167347 1 1
BO 1172807 1 13
BO 1178375 1 8
BO 1183898 1 13
BO 1189466 1 2
BO 1194935 1 10
BO 1200476 1 10
BO 1206017 1 13
BO 1211585 1 5
BO 1217081 1 6
BO 1222586 1 2
BO 1228055 1 9
BO 1233587 1 0
BO 1233587 1 2
BO 1239056 1 10
BO 1244597 1 8
BO 1250120 1 3
BO 1255598 1 6
BO 1261103 1 3
BO 1266581 1 5
BO 1272077 1 14
BO 1277654 1 5
BO 1283150 1 11
BO 1288700 1 10
BO 1294241 1 7
BO 1299755 1 1
BO 1305215 1 14
BO 1310792 1 11
BO 1316342 1 14
BO 1321919 1 15
BO 1327505 1 3
BO 1332983 1 7
BO 1338497 1 11
BO 1344047 1 3
BO 1349525 1 8
BO 1355048 1 0
BO 1355048 1 9
BO 1360580 1 15
BO 1366166 1 14
BO 1371743 1 13
BO 1377311 1 10
BO 1382852 1 11
BO 1388402 1 8
BO 1393925 1 0
BO 1393925 1 11
BO 1399475 1 13
BO 1405043 1 15
BO 1410629 1 8
BO 1416152 1 14
BO 1421729 1 15
BO 1427315 1 9
BO 1432847 1 13
BO 1438415 1 5
BO 1443911 1 5
BO 1449407 1 4
BO 1454894 1 10
BO 1460435 1 0
BO 1460435 1 11
BO 1465985 1 14
BO 1471562 1 11
BO 1477112 1 14
BO 1482689 1 1
BO 1488149 1 13
BO 1493717 1 10
BO 1499258 1 3
BO 1504736 1 0
BO 1504736 1 12
BO 1510295 1 8
BO 1515818 1 9
BO 1521350 1 10
BO 1526891 1 3
BO 1532369 1 5
BO 1537865 1 15
BO 1543451 1 13
BO 1549019 1 11
BO 1554569 1 13
BO 1560137 1 2
BO 1565606 1 8
BO 1571129 1 8
BO 1576652 1 12
BO 1582211 1 13
BO 1587779 1 7
BO 1593293 1 9
BO 1598825 1 12
BO 1604384 1 1
BO 1609844 1 7
BO 1615358 1 8
BO 1620881 1 4
BO 1626368 1 13
BO 1631936 1 1
BO 1637396 1 14
BO 1642973 1 5
BO 1648469 1 11
BO 1654019 1 4
BO 1659506 1 3
BO 1664984 1 10
BO 1670525 1 1
BO 1675985 1 5
BO 1681481 1 4
BO 1686968 1 6
BO 1692473 1 1
BO 1697933 1 4
BO 1703420 1 7
BO 1708934 1 15
BO 1714520 1 3
BO 1719998 1 7
BO 1725512 1 7
BO 1731026 1 5
BO 1736522 1 0
BO 1736522 1 2
BO 1741991 1 12
BO 1747550 1 5
BO 1753046 1 0
BO 1753046 1 2
BO 1758515 1 3
BO 1763993 1 6
BO 1769498 1 9
BO 1775030 1 9
BO 1780562 1 2
BO 1786031 1 4
BO 1791518 1 3
BO 1796996 1 6
BO 1802501 1 2
BO 1807970 1 8
BO 1813493 1 14
BO 1819070 1 5
BO 1824566 1 14
BO 1830143 1 1
BO 1835603 1 0
BO 1835603 1 6
BO 1841108 1 14
BO 1846685 1 11
BO 1852235 1 10
BO 1857776 1 10
BO 1863317 1 14
BO 1868894 1 13
BO 1874462 1 1
BO 1879922 1 15
BO 1885508 1 8
BO 1891031 1 3
BO 1896509 1 5
BO 1902005 1 11
BO 1907555 1 14
BO 1913132 1 0
BO 1913132 1 15
BO 1918718 1 3
BO 1924196 1 13
BO 1929764 1 2
BO 1935233 1 2
BO 1940702 1 10
BO 1946243 1 0
BO 1946243 1 7
BO 1951757 1 7
BO 1957271 1 1
BO 1962731 1 15
BO 1968317 1 6
BO 1973822 1 15
BO 1979408 1 15
BO 1984994 1 4
BO 1990481 1 9
BO 1996013 1 9
BO 2001545 1 3
BO 2007023 1 15
BO 2012609 1 15
BO 2018195 1 12
BO 2023754 1 4
BO 2029241 1 3
BO 2034719 1 0
BO 2034719 1 8
BO 2040242 1 12
BO 2045801 1 8
BO 2051324 1 2
BO 2056793 1 5
BO 2062289 1 12
BO 2067848 1 11
BO 2073398 1 6
BO 2078903 1 11
BO 2084453 1 6
BO 2089958 1 11
BO 2095508 1 8
BO 2101031 1 10
BO 2106572 1 7
BO 2112086 1 5
BO 2117582 1 15
BO 2123168 1 8
BO 2128691 1 0
BO 2128691 1 4
BO 2134178 1 7
BO 2139692 1 4
BO 2145179 1 0
BO 2145179 1 15
BO 2150765 1 3
BO 2156243 1 10
BO 2161784 1 12
BO 2167343 1 0
BO 2167343 1 2
BO 2172812 1 14
BO 2178389 1 0
BO 2178389 1 14
BO 2183966 1 9
BO 2189498 1 14
BO 2195075 1 10
BO 2200616 1 4
BO 2206103 1 6
BO 2211608 1 14
BO 2217185 1 1
BO 2222645 1 14
BO 2228222 1 13
BO 2233790 1 11
BO 2239340 1 14
BO 2244917 1 4
BO 2250404 1 15
BO 2255990 1 1
BO 2261450 1 10
BO 2266991 1 11
BO 2272541 1 5
BO 2278037 1 4
BO 2283524 1 1
BO 2288984 1 15
BO 2294570 1 10
BO 2300111 1 10
BO 2305652 1 5
BO 2311148 1 12
BO 2316707 1 7
BO 2322221 1 4
BO 2327708 1 2
BO 2333177 1 5
BO 2338673 1 12
BO 2344232 1 0
BO 2344232 1 15
BO 2349818 1 12
BO 2355377 1 11
BO 2360927 1 1
BO 2366387 1 9
BO 2371919 1 10
BO 2377460 1 0
BO 2377460 1 12
BO 2383019 1 8
BO 2388542 1 1
BO 2394002 1 3
BO 2399480 1 13
BO 2405048 1 15
BO 2410634 1 8
BO 2416157 1 13
BO 2421725 1 3
BO 2427203 1 11
BO 2432753 1 12
BO 2438312 1 14
BO 2443889 1 7
BO 2449403 1 15
BO 2454989 1 4
BO 2460476 1 12
BO 2466035 1 3
BO 2471513 1 10
BO 2477054 1 8
BO 2482577 1 14
BO 2488154 1 6
BO 2493659 1 7
BO 2499173 1 9
BO 2504705 1 10
BO 2510246 1 13
BO 2515814 1 12
BO 2521373 1 11
BO 2526923 1 13
BO 2532491 1 11
BO 2538041 1 13
BO 2543609 1 2
BO 2549078 1 7
BO 2554592 1 10
BO 2560133 1 0
BO 2560133 1 15
BO 2565719 1 8
BO 2571242 1 14
BO 2576819 1 9
BO 2582351 1 8
BO 2587874 1 0
BO 2587874 1 8
BO 2593397 1 6
BO 2598902 1 8
BO 2604425 1 10
BO 2609966 1 10
BO 2615507 1 1
BO 2620967 1 5
BO 2626463 1 1
BO 2631923 1 4
BO 2637410 1 1
BO 2642870 1 6
BO 2648375 1 10
BO 2653916 1 11
BO 2659466 1 0
BO 2659466 1 2
BO 2664935 1 14
BO 2670512 1 8
BO 2676035 1 9
BO 2681567 1 14
BO 2687144 1 2
BO 2692613 1 8
BO 2698136 1 9
BO 2703668 1 4
BO 2709155 1 1
BO 2714615 1 5
BO 2720111 1 10
BO 2725652 1 9
BO 2731184 1 1
BO 2736644 1 15
BO 2742230 1 13
BO 2747798 1 3
BO 2753276 1 10
BO 2758817 1 10
BO 2764358 1 3
BO 2769836 1 10
BO 2775377 1 2
BO 2780846 1 10
BO 2786387 1 4
BO 2791874 1 9
BO 2797406 1 5
BO 2802902 1 0
BO 2802902 1 6
BO 2808407 1 10
BO 2813948 1 15
BO 2819534 1 6
BO 2825039 1 8
BO 2830562 1 3
BO 2836040 1 11
BO 2841590 1 5
BO 2847086 1 9
BO 2852618 1 10
BO 2858159 1 4
BO 2863646 1 14
BO 2869223 1 15
BO 2874809 1 11
BO 2880359 1 2
BO 2885828 1 8
BO 2891351 1 12
BO 2896910 1 14
BO 2902487 1 0
BO 2902487 1 9
BO 2908019 1 7
BO 2913533 1 3
BO 2919011 1 14
BO 2924588 1 5
BO 2930084 1 11
BO 2935634 1 9
BO 2941166 1 15
BO 2946752 1 14
BO 2952329 1 6
BO 2957834 1 14
BO 2963411 1 2
BO 2968880 1 2
BO 2974349 1 14
BO 2979926 1 11
BO 2985476 1 4
BO 2990963 1 6
BO 2996468 1 5
BO 3001964 1 2
BO 3007433 1 6
BO 3012938 1 4
BO 3018425 1 0
BO 3018425 1 3
BO 3023903 1 8
BO 3029426 1 10
BO 3034967 1 13
BO 3040535 1 2
BO 3046004 1 1
BO 3051464 1 4
BO 3056951 1 15
BO 3062537 1 7
BO 3068051 1 11
BO 3073601 1 2
BO 3079070 1 10
BO 3084611 1 2
BO 3090080 1 11
BO 3095630 1 1
BO 3101090 1 15
BO 3106676 1 3
BO 3112154 1 3
BO 3117632 1 11
BO 3123182 1 0
BO 3123182 1 12
BO 3128741 1 10
BO 3134282 1 9
BO 3139814 1 4
BO 3145301 1 15
BO 3150887 1 6
BO 3156392 1 10
BO 3161933 1 3
BO 3167411 1 5
BO 3172907 1 1
BO 3178367 1 14
BO 3183944 1 10
BO 3189485 1 7
BO 3194999 1 11
BO 3200549 1 2
BO 3206018 1 0
BO 3206018 1 4
BO 3211505 1 10
BO 3217046 1 6
BO 3222551 1 8
BO 3228074 1 15
BO 3233660 1 8
BO 3239183 1 11
BO 3244733 1 2
BO 3250202 1 6
BO 3255707 1 2
BO 3261176 1 4
BO 3266663 1 8
BO 3272186 1 12
BO 3277745 1 12
BO 3283304 1 13
BO 3288872 1 15
BO 3294458 1 4
BO 3299945 1 9
BO 3305477 1 4
BO 3310964 1 2
BO 3316433 1 4
BO 3321920 1 6
BO 3327425 1 14
BO 3333002 1 4
BO 3338489 1 6
BO 3343994 1 15
BO 3349580 1 3
BO 3355058 1 2
BO 3360527 1 3
BO 3366005 1 3
BO 3371483 1 10
BO 3377024 1 2
BO 3382493 1 14
BO 3388070 1 15
BO 3393656 1 1
BO 3399116 1 11
BO 3404666 1 2
BO 3410135 1 9
BO 3415667 1 14
BO 3421244 1 5
BO 3426740 1 8
BO 3432263 1 9
BO 3437795 1 0
BO 3437795 1 5
BO 3443291 1 1
BO 3448751 1 3
BO 3454229 1 4
BO 3459716 1 1
BO 3465176 1 2
BO 3470645 1 9
BO 3476177 1 2
BO 3481646 1 1
BO 3487106 1 15
BO 3492692 1 10
BO 3498233 1 6
BO 3503738 1 3
BO 3509216 1 7
BO 3514730 1 7
BO 3520244 1 14
BO 3525821 1 4
BO 3531308 1 15
BO 3536894 1 12
BO 3542453 1 7
BO 3547967 1 4
BO 3553454 1 1
BO 3558914 1 5
BO 3564410 1 3
BO 3569888 1 6
BO 3575393 1 10
BO 3580934 1 1
BO 3586394 1 10
BO 3591935 1 11
BO 3597485 1 13
BO 3603053 1 8
BO 3608576 1 9
BO 3614108 1 8
BO 3619631 1 11
BO 3625181 1 4
BO 3630668 1 4
BO 3636155 1 15
BO 3641741 1 13
BO 3647309 1 12
BO 3652868 1 7
BO 3658382 1 8
BO 3663905 1 13
BO 3669473 1 11
BO 3675023 1 12
BO 3680582 1 11
BO 3686132 1 3
BO 3691610 1 11
BO 3697160 1 15
BO 3702746 1 0
BO 3702746 1 1
BO 3708206 1 13
BO 3713774 1 8
BO 3719297 1 9
BO 3724829 1 8
BO 3730352 1 5
BO 3735848 1 4
BO 3741335 1 12
BO 3746894 1 13
BO 3752462 1 15
BO 3758048 1 9
BO 3763580 1 9
BO 3769112 1 12
BO 3774671 1 4
BO 3780158 1 10
BO 3785699 1 13
BO 3791267 1 11
BO 3796817 1 6
BO 3802322 1 0
BO 3802322 1 1
BO 3807782 1 7
BO 3813296 1 7
BO 3818810 1 11
BO 3824360 1 10
BO 3829901 1 4
BO 3835388 1 10
BO 3840929 1 9
BO 3846461 1 9
BO 3851993 1 4
BO 3857480 1 3
BO 3862958 1 8
BO 3868481 1 14
BO 3874058 1 12
BO 3879617 1 4
BO 3885104 1 6
BO 3890609 1 7
BO 3896123 1 6
BO 3901628 1 7
BO 3907142 1 14
BO 3912719 1 9
BO 3918251 1 7
BO 3923765 1 3
BO 3929243 1 11
BO 3934793 1 1
BO 3940253 1 15
BO 3945839 1 13
BO 3951407 1 2
BO 3956876 1 7
BO 3962390 1 0
BO 3962390 1 3
BO 3967868 1 5
BO 3973364 1 3
BO 3978842 1 8
BO 3984365 1 13
BO 3989933 1 9
BO 3995465 1 12
BO 4001024 1 15
BO 4006610 1 15
BO 4012196 1 7
BO 4017710 1 3
BO 4023188 1 8
BO 4028711 1 7
BO 4034225 1 1
BO 4039685 1 8
BO 4045208 1 14
BO 4050785 1 14
BO 4056362 1 15
BO 4061948 1 14
BO 4067525 1 15
BO 4073111 1 2
BO 4078580 1 5
BO 4084076 1 0
BO 4084076 1 10
BO 4089617 1 10
BO 4095158 1 0
BO 4095158 1 11
BO 4100708 1 5
BO 4106204 1 13
BO 4111772 1 12
BO 4117331 1 11
BO 4122881 1 4
BO 4128368 1 2
BO 4133837 1 10
BO 4139378 1 9
BO 4144910 1 7
BO 4150424 1 4
BO 4155911 1 0
BO 4155911 1 14
BO 4161488 1 11
BO 4167038 1 7
BO 4172552 1 9
BO 4178084 1 12
BO 4183643 1 10
BO 4189184 1 3
BO 4194662 1 10
BO 4200203 1 15
BO 4205789 1 1
BO 4211249 1 3
BO 4216727 1 5
BO 4222223 1 6
BO 4227728 1 9
BO 4233260 1 11
BO 4238810 1 10
BO 4244351 1 13
BO 4249919 1 10
BO 4255460 1 4
BO 4260947 1 11
BO 4266497 1 6
BO 4272002 1 9
BO 4277534 1 5
BO 4283030 1 9
BO 4288562 1 7
BO 4294076 1 6
BO 4299581 1 1
